Date_,Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,MA30_,STD30_,Upper_Band_,Lower_Band_
2026-07-02,194.8300018310547,200.05999755859375,192.35000610351562,197.13999938964844,142068700,208.00867462158203,8.93193681479549,225.87254825117301,190.14480099199105
2026-07-01,197.5800018310547,199.85000610351562,193.4499969482422,196.1999969482422,146147600,208.85944722493488,8.84853453051403,226.55651628596294,191.16237816390682
2026-06-30,200.08999633789062,200.6300048828125,195.11000061035156,197.24000549316406,166476700,209.67548726399738,8.901149022420865,227.47778530883912,191.87318921915565
2026-06-29,194.97000122070312,196.17999267578125,189.8000030517578,193.85000610351562,148835700,210.50774434407552,9.138087609277878,228.78391956263127,192.23156912551977
2026-06-26,192.52999877929688,195.5500030517578,191.22000122070312,193.1199951171875,179304100,211.85759684244792,9.73518957300187,231.32797598845167,192.38721769644417
2026-06-25,195.74000549316406,200.8000030517578,192.1300048828125,200.0800018310547,149550000,212.95883382161458,9.333766160885627,231.62636614338584,194.2913014998433
2026-06-24,199.0,201.6699981689453,196.5800018310547,200.1199951171875,151810700,213.7849329630534,8.84095406052007,231.46684108409355,196.10302484201324
2026-06-23,200.0399932861328,203.77000427246094,200.0,202.1699981689453,153496200,214.45775095621744,8.43574615379262,231.32924326380268,197.5862586486322
2026-06-22,208.64999389648438,213.99000549316406,207.72000122070312,211.44000244140625,122041400,214.9547337849935,7.984149995571785,230.92303377613706,198.98643379384993
2026-06-18,210.69000244140625,211.38999938964844,206.5,207.3300018310547,241272000,215.0415267944336,7.927199304373444,230.89592540318048,199.1871281856867
2026-06-17,204.64999389648438,209.2100067138672,203.0800018310547,208.52999877929688,128363500,214.93812866210936,8.005756261325386,230.94964118476014,198.9266161394586
2026-06-16,207.41000366210938,211.49000549316406,207.2899932861328,211.17999267578125,125694100,214.6588368733724,8.50747897274026,231.6737948188529,197.64387892789188
2026-06-15,212.4499969482422,212.7100067138672,208.33999633789062,208.9199981689453,149936700,214.3534678141276,8.930537780881847,232.2145433758913,196.4923922523639
2026-06-12,205.19000244140625,207.07000732421875,203.44000244140625,204.86000061035156,112001800,213.87910054524738,9.400712462384318,232.68052547001602,195.07767562047874
2026-06-11,204.8699951171875,205.66000366210938,199.5399932861328,201.49000549316406,158643200,213.68402303059895,9.64479378038432,232.9736105913676,194.3944354698303
2026-06-10,200.4199981689453,207.22000122070312,199.9199981689453,204.42999267578125,161746600,213.82190348307293,9.54347948943125,232.90886246193543,194.73494450421043
2026-06-09,208.19000244140625,211.39999389648438,199.33999633789062,210.6199951171875,180962500,214.23863169352214,9.205042078431122,232.64871585038438,195.8285475366599
2026-06-08,208.63999938964844,210.47000122070312,206.0,210.17999267578125,138372800,214.51089274088542,9.140535919492072,232.79196457986956,196.2298209019013
2026-06-05,205.10000610351562,214.8699951171875,204.3300018310547,214.52999877929688,219655500,214.4904774983724,9.154773492202752,232.8000244827779,196.1809305139669
2026-06-04,218.66000366210938,221.60000610351562,210.97000122070312,213.91000366210938,169022200,214.30073038736978,9.411509448242985,233.12374928385574,195.47771149088382
2026-06-03,214.5,222.56061267075634,214.2602739078757,221.46188713313538,160907000,213.75420583089192,9.623303806079576,233.00081344305107,194.50759821873277
2026-06-02,222.56060791015625,232.00958636747916,221.09231801448135,226.91551751623658,193362900,213.25911661783854,9.95979127569905,233.17869916923664,193.33953406644045
2026-06-01,224.09881591796875,224.60821672379726,215.44889364463796,215.47885750139108,212850700,212.56792195638022,10.011407132044445,232.5907362204691,192.54510769229134
2026-05-29,210.8942108154297,217.6063892667686,210.88422794322287,214.33020874183248,289410600,211.81280161539715,9.965919529325683,231.74464067404853,191.88096255674577
2026-05-28,214.00057983398438,215.2691056248748,210.97410844231206,211.03403615445995,143996000,211.3869644165039,10.27467708401442,231.93631858453273,190.83761024847507
2026-05-27,212.35250854492188,213.90069192498567,208.53694826896,213.87072806866348,167601200,210.87489471435546,10.519811966684529,231.91451864772452,189.8352707809864
2026-05-26,214.60987854003906,217.92600574795006,211.75320730356688,216.28791550863897,187202600,210.3391855875651,10.846116278286539,232.0314181441382,188.64695303099202
2026-05-22,215.07933044433594,220.75271088945502,214.54994865072538,220.64283833374193,169275700,209.48851013183594,11.481776996429469,232.45206412469489,186.524956138977
2026-05-21,219.25445556640625,227.13526994336974,217.6762930684293,222.03121805596584,203381800,208.59954630533855,12.052222547321797,232.70399139998216,184.49510121069494
2026-05-20,223.20985412597656,225.8667612103758,220.2433103590018,222.9201831873553,184201600,207.4142613728841,12.699366126193567,232.81299362527125,182.01552912049698
2026-05-19,220.35317993164062,224.21866983705235,217.6563261548179,219.36432694236115,140948200,206.03620096842448,13.160914128298831,232.35802922502214,179.71437271182683
2026-05-18,222.0612030029297,229.7322553439391,218.1157890335498,229.60240180074675,146280900,204.6208506266276,13.834073538334506,232.28899770329662,176.95270354995858
2026-05-15,225.05770874023438,231.23050718880455,223.97896415639156,229.49252726355346,180977600,203.13325042724608,14.286091760876163,231.7054339489984,174.56106690549376
2026-05-14,235.465576171875,236.26463268418732,229.03307065698914,229.58243343997336,180782900,201.53744303385417,14.425779644150508,230.3890023221552,172.68588374555316
2026-05-13,225.56710815429688,227.57476278227756,221.3120728008497,224.6681467194947,150405400,199.54010416666668,13.69593082064622,226.93196580795913,172.14824252537423
2026-05-12,220.52297973632812,223.48952345691538,214.6698009927987,218.29558003818886,159176600,197.82776641845703,13.540085209398699,224.90793683725443,170.74759599965964
2026-05-11,219.18453979492188,222.04121091513153,213.64099781886503,213.79081709888328,160685800,195.97625783284505,14.115158756962094,224.20657534676923,167.74594031892087
2026-05-08,214.94947814941406,217.5464575316693,212.642169707093,212.7820061205359,136421400,194.2476058959961,14.348516254836078,222.94463840566823,165.55057338632395
2026-05-07,211.2537841796875,213.95063795079753,206.25960488465944,208.0974592073836,168307900,192.7839787801107,14.403359424765624,221.59069762964194,163.97725993057944
2026-05-06,207.5880584716797,208.0275486883452,198.37879062945476,199.65729931010404,188362800,191.69125213623047,14.195827497324835,220.08290713088013,163.29959714158082
2026-05-05,196.271240234375,200.00689171848026,195.80178617585554,199.06798360144137,113406600,190.60485127766927,14.184423130464106,218.9736975385975,162.23600501674105
2026-05-04,198.24893188476562,201.49514834231712,194.51329562325486,199.26774870200734,125368100,189.9103276570638,14.405778689856723,218.72188503677722,161.09877027735035
2026-05-01,198.21897888183594,202.76368521944246,196.89052532216473,201.0456862731779,128647000,189.05199483235677,14.6567497972467,218.36549442685018,159.73849523786336
2026-04-30,199.33767700195312,210.05518135667162,198.46867945247158,209.68560172993963,225239200,188.38976643880207,14.677083126606364,217.7439326920148,159.03560018558935
2026-04-29,209.00640869140625,212.47237042757808,207.33835459433345,212.4523894424142,123711800,187.7515101114909,14.60071420551761,216.9529385225261,158.55008170045568
2026-04-28,212.92184448242188,214.4800260296235,207.95762889823203,209.24613572912838,180275400,186.84190317789714,14.07131267291097,214.98452852371906,158.6992778320752
2026-04-27,216.3578338623047,216.5775789683675,207.13858324348888,209.4059296471886,187172400,185.84473215738933,13.191910017132148,212.22855219165362,159.46091212312504
2026-04-24,208.0275421142578,210.70441481695215,199.57738430538978,199.72721882416832,214134400,184.63414306640624,11.898197629099078,208.43053832460438,160.8377478082081
2026-04-23,199.4075927734375,203.59271751351986,196.99041179336916,202.22431724671497,113561800,183.79745178222657,11.048651685161664,205.8947551525499,161.70014841190326
2026-04-22,202.26426696777344,202.26426696777344,198.76834136586132,200.75603026628932,107501000,183.3443130493164,10.658226620269383,204.6607662898552,162.02785980877763
2026-04-21,199.64732360839844,202.51397775047528,198.76834314349978,201.89470437258373,107945300,182.75366770426433,10.047039290960353,202.84774628618504,162.65958912234362
2026-04-20,201.82476806640625,201.9346406188145,197.6096795882359,199.7471876833392,119381400,182.17967325846354,9.527046164743041,201.23376558794962,163.12558092897746
2026-04-17,201.44520568847656,201.46518667284232,199.03802288778024,199.66727910555997,160324400,181.3722941080729,8.803663820503411,198.97962174907974,163.76496646706607
2026-04-16,198.1190948486328,199.6173486077875,195.58204328148997,197.20015246424893,134012900,180.76134185791017,7.957979037870747,196.67729993365165,164.84538378216868
2026-04-15,198.63848876953125,200.166706463506,195.5121427945441,196.31119931453722,185338400,180.25127258300782,7.2675057867604105,194.78628415652864,165.716261009487
2026-04-14,196.28123474121094,196.28123474121094,190.54792650193752,190.61783708872017,161307000,179.6243448893229,6.384190111560904,192.3927251124447,166.85596466620112
2026-04-13,189.08961486816406,189.43921351677633,185.52377876103736,185.81343445538195,133648200,179.15689392089843,5.586022937099253,190.32893979509694,167.9848480466999
2026-04-10,188.41041564941406,189.77881591864653,184.08545448929232,184.09543736125556,160459500,178.75304514567057,5.272304079636241,189.29765330494305,168.20843698639808
2026-04-09,183.69590759277344,183.86570786090292,180.40972906189933,181.6283100364998,116428500,178.62819010416666,5.076431257463734,188.78105261909414,168.47532758923919
2026-04-08,181.8680419921875,185.0443328296099,180.09011531444295,184.28522303450282,147732700,179.01571858723958,5.8599244146553255,190.73556741655023,167.29586975792893
2026-04-07,177.89266967773438,178.0225079733855,173.4578360976707,175.52541836668527,132534900,179.37395324707032,6.348444497803813,192.07084224267794,166.6770642514627
2026-04-06,177.43319702148438,177.58301630024127,175.55538077559635,176.953760088437,107564300,179.82141927083333,6.70359326570044,193.2286058022342,166.41423273943246
2026-04-02,177.18348693847656,177.28337661769746,171.170490985778,171.97954556798163,143143200,180.2266052246094,6.9181896490838195,194.06298452277701,166.39022592644176
2026-04-01,175.54541015625,177.16351944386196,174.54657425208924,175.79511913229018,168132000,180.5761922200521,7.023292887482196,194.6227779950165,166.5296064450877
2026-03-31,174.1969757080078,174.41672082635512,166.7656493784466,166.77563225072552,226181300,180.98304494222006,7.0751526205928,195.13335018340567,166.83273970103446
2026-03-30,164.97772216796875,169.25273855906806,164.07877596313077,168.58352034150624,185627000,181.33463490804036,6.987837737359019,195.3103103827584,167.35895943332233
2026-03-27,167.32498168945312,170.77096223786808,166.81556566439232,169.80209026823204,196212700,181.92162068684897,6.269109836671991,194.45984036019294,169.383401013505
2026-03-26,171.04066467285156,176.30451888215924,170.9407749866337,175.86504388946904,186152200,182.56786397298177,5.684552703998582,193.93696938097892,171.19875856498462
2026-03-25,178.47198486328125,181.00903649280792,176.64412864426953,176.89383761026875,162602100,183.19379170735678,5.39812173377976,193.9900351749163,172.39754823979726
2026-03-24,174.99603271484375,176.01484951930743,173.777451794472,174.6264683383626,147667800,183.52173614501953,5.4002196125944275,194.32217537020838,172.72129691983068
2026-03-23,175.43553161621094,178.16234927411983,174.55655117338722,177.0536408486584,182836300,184.01548461914064,5.2694001947223175,194.55428500858528,173.476684229696
2026-03-20,172.4989471435547,178.05247199547227,171.52009228430225,177.79278016290237,241323500,184.34043833414714,5.016569426373153,194.37357718689344,174.30729948140083
2026-03-19,178.3521270751953,179.77047215436778,175.5853475010711,177.80276430906588,170968500,,,,
2026-03-18,180.1899871826172,183.16652908726184,180.12007659614625,182.26756764801692,156683100,,,,
