Date_,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,MA30_,STD30_,Upper_Band_,Lower_Band_
2025-10-09,253.3233184814453,257.2721535801604,252.42586356688122,257.082687156571,38322000,,,,
2025-10-10,244.57806396484375,255.6567217403356,243.3116425485481,254.2207817432353,61999100,,,,
2025-10-13,246.96131896972656,248.98559082884384,244.86723728717817,248.6764678182016,38142900,,,,
2025-10-14,247.07101440429688,248.14796941642882,244.00966795095763,245.90431694508948,35478000,,,,
2025-10-15,248.63658142089844,251.10959602979932,246.77186176083558,248.78616738422895,33893600,,,,
2025-10-16,246.75192260742188,248.33743345063007,244.43847540742667,247.54966879270205,39777000,,,,
2025-10-17,251.5782470703125,252.66518358811555,246.57242016484557,247.3203043073955,49147000,,,,
2025-10-20,261.50018310546875,263.63416054313814,254.90884523128253,255.168106265739,90483000,,,,
2025-10-21,262.0287170410156,264.54162761794373,261.0913663387469,261.1412435480521,46695900,,,,
2025-10-22,257.72088623046875,262.1084670888602,254.70938662410154,261.9090191460537,45015300,,,,
2025-10-23,258.8476867675781,259.8847613495841,257.28213901467177,259.206686997747,32754900,,,,
2025-10-24,262.07855224609375,263.3848541030092,258.44880663072195,260.4531458541269,38253700,,,,
2025-10-27,268.0516662597656,268.36078929414754,263.90339825112477,264.13276036080543,44888200,,,,
2025-10-28,268.2411193847656,269.12862319727753,267.39351124836816,268.23113785786586,41534800,,,,
2025-10-29,268.93914794921875,270.6443152614699,266.35642794866993,268.5203194424725,51086700,,,,
2025-10-30,270.63433837890625,273.36662916750566,267.72259312931254,271.2226702585742,69886500,,,,
2025-10-31,269.6072692871094,276.53767519933945,268.40069127196034,276.2085891024436,86167100,,,,
2025-11-03,268.29095458984375,270.08589475979994,265.49886601188945,269.65711516237894,50194600,,,,
2025-11-04,269.2781982421875,270.72408938596277,266.86501191822913,267.5730004152706,49274800,,,,
2025-11-05,269.3779296875,270.9335263776032,266.17696342424256,267.8522167164328,43683100,,,,
2025-11-06,269.0089416503906,272.6287059365568,267.1342708755924,267.1342708755924,51204000,,,,
2025-11-07,267.7126159667969,271.5218466038475,266.0173996929098,269.03885049148494,48227400,,,,
2025-11-10,268.93035888671875,273.22240319845355,266.96401085683,268.46122924118225,41312400,,,,
2025-11-11,274.73956298828125,275.3983427074405,269.2996575494418,269.3096487524697,46208300,,,,
2025-11-12,272.9628601074219,275.2186787593472,271.19615348009904,274.49002155435767,48398000,,,,
2025-11-13,272.44384765625,276.1868935731559,271.5854266195937,273.6016697208788,49602800,,,,
2025-11-14,271.9048156738281,275.44821996704485,269.10002929321837,270.54732197227213,47431300,,,,
2025-11-17,266.9639892578125,269.98836893107386,265.237217022597,268.3214829895084,45018300,,,,
2025-11-18,266.9440612792969,270.2079864201871,264.8279974843966,269.48932037088264,45677300,,,,
2025-11-19,268.06195068359375,271.7051756343288,265.00762791735707,265.0375710636542,40424500,263.10567067464194,9.187293131077936,281.4802569367978,244.73108441248607
2025-11-20,265.7562561035156,274.91922505965954,265.42688147061517,270.327749378444,45823600,263.5201019287109,9.009502431758,281.5391067922269,245.50109706519493
2025-11-21,270.98651123046875,272.8230952896135,265.17732758833057,265.4568071090486,59030800,264.4003835042318,8.361781867600195,281.1239472394322,247.6768197690314
2025-11-24,275.4083251953125,276.4863089537433,270.397615191446,270.397615191446,65585800,265.3486170450846,7.917117829444956,281.1828527039745,249.51438138619469
2025-11-25,276.4563903808594,279.8600705608694,274.73957871594786,274.75953066216096,46914200,266.32812957763673,7.377202565723401,281.0825347090835,251.57372444618994
2025-11-26,277.0352783203125,279.01161742605893,276.1170014953278,276.44637611579356,33431400,267.2747528076172,6.8305593879201,280.93587158345736,253.61363403177697
2025-11-28,278.3328857421875,278.4826014787427,275.4781737009374,276.7458380127342,20135600,268.32745157877605,5.933220932825382,280.1938934444268,256.4610097131253
2025-12-01,282.57501220703125,282.89442609469603,275.62792768573877,277.4944549964911,46587700,269.3606770833333,5.60578731861638,280.5722517205661,258.1491024461005
2025-12-02,285.6592712402344,286.86701880065203,282.10587559562896,282.47518456741903,53669500,270.1659800211589,6.146830171751989,282.45964036466285,257.8723196776549
2025-12-03,283.623046875,288.0847586222564,282.77461708045536,285.6692634925469,43538700,270.885791015625,6.419409891019276,283.72461079766356,258.0469712335864
2025-12-04,280.179443359375,284.20196835267484,278.07334059490756,283.5731318378766,43989100,271.63440958658856,6.1344146224931695,283.9032388315749,259.3655803416022
2025-12-05,278.26300048828125,280.6186397013617,277.53434330937836,280.01974631085085,47265800,272.281586710612,5.751080948036267,283.7837486066845,260.7794248145394
2025-12-08,277.3746643066406,279.15136205700173,275.6378704438954,277.6142094762677,38211800,272.7914571126302,5.487325591807003,283.7661082962442,261.8168059290162
2025-12-09,276.66595458984375,279.5106752769474,276.40645748061854,277.64414811825674,32193300,273.07860005696614,5.456044113300282,283.9906882835667,262.16651183036555
2025-12-10,278.26300048828125,279.2312028389952,275.92734368017386,277.23491184461454,33038300,273.41266276041665,5.456451276669218,284.3255653137551,262.4997602070782
2025-12-11,277.514404296875,279.07150890817053,273.3022288840155,278.5824273392719,33248000,273.69850463867186,5.438603196023954,284.5757110307198,262.82129824662394
2025-12-12,277.7639465332031,278.70220580092337,276.30666253778065,277.38464634485007,39532900,273.9361582438151,5.455835417047719,284.84782907791055,263.02448740971965
2025-12-15,273.6016540527344,279.63046152672615,272.33402020742307,279.63046152672615,50409100,274.0693044026693,5.39494923214517,284.8592028669596,263.27940593837894
2025-12-16,274.1007385253906,274.9891026980292,271.2859911871425,272.3140798989353,37648600,274.2629638671875,5.283498648864564,284.82996116491665,263.6959665694584
