category_code,data_type_code,seasonally_adj,cell_value,time_slot_id,time,us
A14XX,P,yes,34311,0,2026-05,1
A14XX,P,yes,34204,0,2026-04,1
A14XX,P,yes,34019,0,2026-03,1
A14XX,P,yes,34205,0,2026-02,1
A14XX,P,yes,33823,0,2026-01,1
A14XX,P,yes,34030,0,2025-12,1
A14XX,P,yes,35281,0,2025-11,1
